SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/370/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 319 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.437e+000    5.859e-003  
T     =       2.875s      182.645s  

RSS   =   4.031e-003
SD    =   1.159e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.021e+000    2.077e-002
    2       2.000s    7.486e-001    7.225e-001   -2.610e-002
    3       3.000s    5.238e-001    5.119e-001   -1.185e-002
    4       4.000s    3.769e-001    3.632e-001   -1.372e-002
    5       5.000s    2.597e-001    2.581e-001   -1.626e-003
    6       6.000s    1.594e-001    1.839e-001    2.455e-002
    7       7.000s    1.025e-001    1.315e-001    2.901e-002
    8       8.000s    8.243e-002    9.450e-002    1.207e-002
    9       9.000s    6.408e-002    6.835e-002    4.273e-003
   10      10.000s    4.206e-002    4.988e-002    7.816e-003
   11      11.000s    3.586e-002    3.682e-002    9.591e-004
   12      12.000s    4.200e-002    2.760e-002   -1.441e-002
   13      13.000s    3.826e-002    2.107e-002   -1.719e-002
   14      14.000s    2.461e-002    1.645e-002   -8.158e-003
   15      15.000s    1.920e-002    1.318e-002   -6.013e-003
   16      16.000s    2.198e-002    1.087e-002   -1.111e-002
   17      17.000s    1.747e-002    9.221e-003   -8.250e-003
   18      18.000s    6.632e-003    8.051e-003    1.420e-003
   19      19.000s    4.178e-003    7.217e-003    3.039e-003
   20      20.000s    9.519e-003    6.619e-003   -2.900e-003
   21      21.000s    8.949e-003    6.189e-003   -2.760e-003
   22      22.000s    2.278e-003    5.876e-003    3.598e-003
   23      23.000s    1.390e-003    5.648e-003    4.257e-003
   24      24.000s    6.213e-003    5.478e-003   -7.355e-004
   25      25.000s    5.957e-003    5.350e-003   -6.067e-004
   26      26.000s    8.733e-004    5.251e-003    4.378e-003
   27      27.000s    8.067e-004    5.174e-003    4.367e-003
   28      28.000s    5.173e-003    5.111e-003   -6.189e-005
   29      29.000s    4.750e-003    5.059e-003    3.092e-004
   30      30.000s    2.875e-004    5.014e-003    4.726e-003

============================================================

