SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/10/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 152 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.404e+000    8.478e-003  
T     =       3.089s      234.634s  

RSS   =   4.810e-003
SD    =   1.266e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.024e+000    2.448e-002
    2       2.000s    7.710e-001    7.435e-001   -2.752e-002
    3       3.000s    5.571e-001    5.402e-001   -1.695e-002
    4       4.000s    4.087e-001    3.931e-001   -1.567e-002
    5       5.000s    2.879e-001    2.866e-001   -1.270e-003
    6       6.000s    1.857e-001    2.096e-001    2.393e-002
    7       7.000s    1.253e-001    1.539e-001    2.862e-002
    8       8.000s    9.944e-002    1.136e-001    1.415e-002
    9       9.000s    7.704e-002    8.441e-002    7.366e-003
   10      10.000s    5.324e-002    6.329e-002    1.005e-002
   11      11.000s    4.408e-002    4.800e-002    3.923e-003
   12      12.000s    4.599e-002    3.693e-002   -9.060e-003
   13      13.000s    4.109e-002    2.891e-002   -1.218e-002
   14      14.000s    3.095e-002    2.310e-002   -7.855e-003
   15      15.000s    2.996e-002    1.889e-002   -1.108e-002
   16      16.000s    3.438e-002    1.583e-002   -1.855e-002
   17      17.000s    2.883e-002    1.361e-002   -1.522e-002
   18      18.000s    1.574e-002    1.199e-002   -3.750e-003
   19      19.000s    1.035e-002    1.081e-002    4.659e-004
   20      20.000s    1.283e-002    9.953e-003   -2.875e-003
   21      21.000s    1.083e-002    9.320e-003   -1.507e-003
   22      22.000s    4.097e-003    8.854e-003    4.757e-003
   23      23.000s    3.072e-003    8.507e-003    5.436e-003
   24      24.000s    7.315e-003    8.248e-003    9.332e-004
   25      25.000s    7.022e-003    8.051e-003    1.029e-003
   26      26.000s    2.498e-003    7.900e-003    5.402e-003
   27      27.000s    2.487e-003    7.782e-003    5.295e-003
   28      28.000s    6.368e-003    7.687e-003    1.320e-003
   29      29.000s    6.082e-003    7.610e-003    1.528e-003
   30      30.000s    2.526e-003    7.546e-003    5.020e-003

============================================================

