SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/840/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.441e+000    3.292e-003  
T     =       2.938s    20838447613724.121s  

RSS   =   4.905e-003
SD    =   1.279e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.028e+000    2.838e-002
    2       2.000s    7.639e-001    7.327e-001   -3.121e-002
    3       3.000s    5.482e-001    5.223e-001   -2.592e-002
    4       4.000s    3.869e-001    3.725e-001   -1.438e-002
    5       5.000s    2.585e-001    2.660e-001    7.551e-003
    6       6.000s    1.629e-001    1.902e-001    2.736e-002
    7       7.000s    1.097e-001    1.363e-001    2.657e-002
    8       8.000s    8.307e-002    9.793e-002    1.486e-002
    9       9.000s    6.061e-002    7.063e-002    1.002e-002
   10      10.000s    4.340e-002    5.120e-002    7.801e-003
   11      11.000s    3.945e-002    3.738e-002   -2.067e-003
   12      12.000s    3.928e-002    2.755e-002   -1.173e-002
   13      13.000s    3.048e-002    2.055e-002   -9.929e-003
   14      14.000s    1.885e-002    1.557e-002   -3.282e-003
   15      15.000s    1.515e-002    1.203e-002   -3.123e-003
   16      16.000s    1.529e-002    9.509e-003   -5.783e-003
   17      17.000s    1.075e-002    7.716e-003   -3.038e-003
   18      18.000s    5.440e-003    6.440e-003    9.998e-004
   19      19.000s    6.385e-003    5.532e-003   -8.537e-004
   20      20.000s    9.104e-003    4.886e-003   -4.218e-003
   21      21.000s    6.509e-003    4.426e-003   -2.083e-003
   22      22.000s    2.463e-003    4.099e-003    1.636e-003
   23      23.000s    3.564e-003    3.866e-003    3.023e-004
   24      24.000s    6.518e-003    3.701e-003   -2.817e-003
   25      25.000s    5.403e-003    3.583e-003   -1.820e-003
   26      26.000s    3.051e-003    3.499e-003    4.476e-004
   27      27.000s    4.377e-003    3.439e-003   -9.372e-004
   28      28.000s    6.323e-003    3.397e-003   -2.926e-003
   29      29.000s    4.467e-003    3.367e-003   -1.101e-003
   30      30.000s    2.051e-003    3.345e-003    1.295e-003

============================================================

