SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/630/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 305 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.112e+000    1.047e-002  
T     =       1.369s       41.737s  

RSS   =   2.299e-002
SD    =   2.768e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.028e+000    2.782e-002
    2       2.000s    5.979e-001    5.002e-001   -9.770e-002
    3       3.000s    2.060e-001    2.459e-001    3.984e-002
    4       4.000s    3.487e-002    1.233e-001    8.841e-002
    5       5.000s    4.296e-002    6.409e-002    2.113e-002
    6       6.000s    6.440e-002    3.547e-002   -2.893e-002
    7       7.000s    3.601e-002    2.157e-002   -1.444e-002
    8       8.000s    1.325e-002    1.477e-002    1.518e-003
    9       9.000s    2.731e-002    1.139e-002   -1.592e-002
   10      10.000s    3.920e-002    9.662e-003   -2.954e-002
   11      11.000s    2.397e-002    8.731e-003   -1.524e-002
   12      12.000s    8.553e-003    8.185e-003   -3.675e-004
   13      13.000s    1.222e-002    7.828e-003   -4.392e-003
   14      14.000s    1.529e-002    7.564e-003   -7.727e-003
   15      15.000s    4.215e-003    7.347e-003    3.133e-003
   16      16.000s    -3.181e-003    7.155e-003    1.034e-002
   17      17.000s    4.791e-003    6.977e-003    2.186e-003
   18      18.000s    1.179e-002    6.808e-003   -4.986e-003
   19      19.000s    5.832e-003    6.644e-003    8.127e-004
   20      20.000s    -2.650e-004    6.486e-003    6.751e-003
   21      21.000s    3.932e-003    6.332e-003    2.400e-003
   22      22.000s    7.818e-003    6.182e-003   -1.636e-003
   23      23.000s    2.724e-003    6.035e-003    3.312e-003
   24      24.000s    -1.710e-003    5.892e-003    7.603e-003
   25      25.000s    2.310e-003    5.753e-003    3.443e-003
   26      26.000s    6.157e-003    5.617e-003   -5.400e-004
   27      27.000s    2.834e-003    5.484e-003    2.649e-003
   28      28.000s    2.162e-004    5.354e-003    5.138e-003
   29      29.000s    4.741e-003    5.227e-003    4.863e-004
   30      30.000s    9.282e-003    5.103e-003   -4.179e-003

============================================================

