SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/380/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 359 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.131e+000    2.327e-002  
T     =       1.324s       19.827s  

RSS   =   1.797e-002
SD    =   2.448e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.023e+000    2.312e-002
    2       2.000s    5.764e-001    4.913e-001   -8.517e-002
    3       3.000s    1.992e-001    2.409e-001    4.170e-002
    4       4.000s    4.643e-002    1.228e-001    7.635e-002
    5       5.000s    5.466e-002    6.683e-002    1.217e-002
    6       6.000s    6.750e-002    4.009e-002   -2.741e-002
    7       7.000s    3.823e-002    2.711e-002   -1.112e-002
    8       8.000s    2.039e-002    2.060e-002    2.081e-004
    9       9.000s    3.454e-002    1.715e-002   -1.738e-002
   10      10.000s    4.184e-002    1.517e-002   -2.667e-002
   11      11.000s    2.507e-002    1.389e-002   -1.118e-002
   12      12.000s    1.222e-002    1.295e-002    7.351e-004
   13      13.000s    1.769e-002    1.220e-002   -5.496e-003
   14      14.000s    2.095e-002    1.154e-002   -9.412e-003
   15      15.000s    1.092e-002    1.095e-002    2.684e-005
   16      16.000s    4.033e-003    1.040e-002    6.364e-003
   17      17.000s    8.756e-003    9.879e-003    1.123e-003
   18      18.000s    1.079e-002    9.391e-003   -1.395e-003
   19      19.000s    3.168e-003    8.927e-003    5.759e-003
   20      20.000s    -1.102e-003    8.488e-003    9.589e-003
   21      21.000s    4.282e-003    8.070e-003    3.788e-003
   22      22.000s    7.470e-003    7.673e-003    2.025e-004
   23      23.000s    2.245e-003    7.295e-003    5.051e-003
   24      24.000s    -1.063e-003    6.937e-003    8.000e-003
   25      25.000s    3.340e-003    6.595e-003    3.255e-003
   26      26.000s    6.372e-003    6.271e-003   -1.012e-004
   27      27.000s    2.740e-003    5.963e-003    3.223e-003
   28      28.000s    6.401e-004    5.669e-003    5.029e-003
   29      29.000s    5.172e-003    5.390e-003    2.184e-004
   30      30.000s    9.299e-003    5.125e-003   -4.174e-003

============================================================

