SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/440/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 182 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.856e+000    1.006e-002  
T     =       1.657s      134.485s  

RSS   =   1.407e-002
SD    =   2.166e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.025e+000    2.486e-002
    2       2.000s    6.432e-001    5.650e-001   -7.820e-002
    3       3.000s    2.881e-001    3.134e-001    2.534e-002
    4       4.000s    1.107e-001    1.758e-001    6.510e-002
    5       5.000s    8.575e-002    1.005e-001    1.474e-002
    6       6.000s    8.266e-002    5.928e-002   -2.338e-002
    7       7.000s    4.764e-002    3.671e-002   -1.093e-002
    8       8.000s    2.206e-002    2.433e-002    2.268e-003
    9       9.000s    3.028e-002    1.753e-002   -1.275e-002
   10      10.000s    3.971e-002    1.378e-002   -2.593e-002
   11      11.000s    2.739e-002    1.170e-002   -1.569e-002
   12      12.000s    1.360e-002    1.053e-002   -3.075e-003
   13      13.000s    1.561e-002    9.860e-003   -5.752e-003
   14      14.000s    1.885e-002    9.463e-003   -9.390e-003
   15      15.000s    1.070e-002    9.215e-003   -1.488e-003
   16      16.000s    3.483e-003    9.050e-003    5.568e-003
   17      17.000s    7.334e-003    8.930e-003    1.596e-003
   18      18.000s    1.108e-002    8.835e-003   -2.245e-003
   19      19.000s    5.439e-003    8.754e-003    3.315e-003
   20      20.000s    5.147e-005    8.680e-003    8.629e-003
   21      21.000s    3.446e-003    8.611e-003    5.165e-003
   22      22.000s    7.405e-003    8.545e-003    1.140e-003
   23      23.000s    4.073e-003    8.480e-003    4.407e-003
   24      24.000s    2.329e-004    8.416e-003    8.184e-003
   25      25.000s    2.747e-003    8.354e-003    5.607e-003
   26      26.000s    5.801e-003    8.292e-003    2.491e-003
   27      27.000s    3.526e-003    8.230e-003    4.704e-003
   28      28.000s    1.314e-003    8.169e-003    6.855e-003
   29      29.000s    4.602e-003    8.108e-003    3.506e-003
   30      30.000s    8.740e-003    8.048e-003   -6.917e-004

============================================================

