SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/400/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 370 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.944e+000    4.675e-002  
T     =       1.458s       13.565s  

RSS   =   1.355e-002
SD    =   2.126e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.023e+000    2.297e-002
    2       2.000s    6.107e-001    5.338e-001   -7.689e-002
    3       3.000s    2.577e-001    2.861e-001    2.837e-002
    4       4.000s    9.534e-002    1.600e-001    6.470e-002
    5       5.000s    7.699e-002    9.542e-002    1.843e-002
    6       6.000s    7.795e-002    6.182e-002   -1.613e-002
    7       7.000s    5.485e-002    4.391e-002   -1.094e-002
    8       8.000s    4.023e-002    3.399e-002   -6.246e-003
    9       9.000s    4.626e-002    2.814e-002   -1.812e-002
   10      10.000s    4.694e-002    2.441e-002   -2.253e-002
   11      11.000s    3.282e-002    2.181e-002   -1.101e-002
   12      12.000s    2.275e-002    1.982e-002   -2.931e-003
   13      13.000s    2.393e-002    1.819e-002   -5.743e-003
   14      14.000s    2.232e-002    1.679e-002   -5.531e-003
   15      15.000s    1.322e-002    1.554e-002    2.321e-003
   16      16.000s    8.384e-003    1.441e-002    6.022e-003
   17      17.000s    1.096e-002    1.337e-002    2.409e-003
   18      18.000s    1.038e-002    1.241e-002    2.035e-003
   19      19.000s    4.144e-003    1.152e-002    7.380e-003
   20      20.000s    1.860e-003    1.070e-002    8.844e-003
   21      21.000s    5.671e-003    9.942e-003    4.272e-003
   22      22.000s    6.694e-003    9.235e-003    2.541e-003
   23      23.000s    2.688e-003    8.579e-003    5.891e-003
   24      24.000s    1.473e-003    7.969e-003    6.496e-003
   25      25.000s    4.996e-003    7.403e-003    2.406e-003
   26      26.000s    6.086e-003    6.876e-003    7.908e-004
   27      27.000s    2.995e-003    6.388e-003    3.393e-003
   28      28.000s    2.523e-003    5.934e-003    3.410e-003
   29      29.000s    6.647e-003    5.512e-003   -1.135e-003
   30      30.000s    9.343e-003    5.120e-003   -4.222e-003

============================================================

