SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/730/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.395e+000    4.525e-003  
T     =       3.423s    62382695629161.375s  

RSS   =   8.461e-003
SD    =   1.679e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.046e+000    4.641e-002
    2       2.000s    8.285e-001    7.825e-001   -4.597e-002
    3       3.000s    6.275e-001    5.854e-001   -4.210e-002
    4       4.000s    4.512e-001    4.383e-001   -1.295e-002
    5       5.000s    3.200e-001    3.284e-001    8.365e-003
    6       6.000s    2.271e-001    2.464e-001    1.923e-002
    7       7.000s    1.606e-001    1.851e-001    2.449e-002
    8       8.000s    1.154e-001    1.394e-001    2.392e-002
    9       9.000s    8.782e-002    1.052e-001    1.738e-002
   10      10.000s    6.994e-002    7.970e-002    9.763e-003
   11      11.000s    5.536e-002    6.066e-002    5.299e-003
   12      12.000s    4.385e-002    4.644e-002    2.590e-003
   13      13.000s    3.670e-002    3.582e-002   -8.798e-004
   14      14.000s    3.181e-002    2.789e-002   -3.920e-003
   15      15.000s    2.671e-002    2.197e-002   -4.737e-003
   16      16.000s    2.219e-002    1.755e-002   -4.640e-003
   17      17.000s    1.950e-002    1.425e-002   -5.243e-003
   18      18.000s    1.722e-002    1.179e-002   -5.432e-003
   19      19.000s    1.411e-002    9.949e-003   -4.161e-003
   20      20.000s    1.164e-002    8.575e-003   -3.062e-003
   21      21.000s    1.103e-002    7.549e-003   -3.481e-003
   22      22.000s    1.068e-002    6.783e-003   -3.901e-003
   23      23.000s    9.155e-003    6.211e-003   -2.944e-003
   24      24.000s    7.804e-003    5.784e-003   -2.021e-003
   25      25.000s    7.923e-003    5.465e-003   -2.458e-003
   26      26.000s    8.091e-003    5.227e-003   -2.864e-003
   27      27.000s    6.976e-003    5.049e-003   -1.927e-003
   28      28.000s    5.971e-003    4.916e-003   -1.055e-003
   29      29.000s    6.401e-003    4.817e-003   -1.584e-003
   30      30.000s    6.866e-003    4.743e-003   -2.123e-003

============================================================

