SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/940/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.383e+000    5.830e-003  
T     =       3.339s    22575406071155.305s  

RSS   =   5.083e-003
SD    =   1.302e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.031e+000    3.096e-002
    2       2.000s    7.959e-001    7.656e-001   -3.023e-002
    3       3.000s    5.947e-001    5.690e-001   -2.568e-002
    4       4.000s    4.394e-001    4.232e-001   -1.621e-002
    5       5.000s    3.153e-001    3.152e-001   -1.079e-004
    6       6.000s    2.162e-001    2.351e-001    1.899e-002
    7       7.000s    1.506e-001    1.758e-001    2.516e-002
    8       8.000s    1.129e-001    1.318e-001    1.890e-002
    9       9.000s    8.559e-002    9.920e-002    1.361e-002
   10      10.000s    6.338e-002    7.503e-002    1.166e-002
   11      11.000s    5.114e-002    5.712e-002    5.979e-003
   12      12.000s    4.626e-002    4.385e-002   -2.413e-003
   13      13.000s    4.083e-002    3.401e-002   -6.823e-003
   14      14.000s    3.498e-002    2.672e-002   -8.261e-003
   15      15.000s    3.285e-002    2.131e-002   -1.154e-002
   16      16.000s    3.107e-002    1.730e-002   -1.376e-002
   17      17.000s    2.403e-002    1.433e-002   -9.698e-003
   18      18.000s    1.531e-002    1.213e-002   -3.177e-003
   19      19.000s    1.192e-002    1.050e-002   -1.422e-003
   20      20.000s    1.215e-002    9.293e-003   -2.862e-003
   21      21.000s    9.784e-003    8.396e-003   -1.387e-003
   22      22.000s    5.738e-003    7.732e-003    1.994e-003
   23      23.000s    5.139e-003    7.240e-003    2.101e-003
   24      24.000s    6.880e-003    6.875e-003   -4.679e-006
   25      25.000s    6.123e-003    6.605e-003    4.814e-004
   26      26.000s    3.782e-003    6.404e-003    2.622e-003
   27      27.000s    4.278e-003    6.256e-003    1.978e-003
   28      28.000s    6.734e-003    6.145e-003   -5.882e-004
   29      29.000s    6.931e-003    6.064e-003   -8.675e-004
   30      30.000s    5.400e-003    6.003e-003    6.031e-004

============================================================

