SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/690/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 177 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.957e+000    7.241e-003  
T     =       1.552s      180.133s  

RSS   =   2.399e-002
SD    =   2.828e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.035e+000    3.500e-002
    2       2.000s    6.502e-001    5.468e-001   -1.033e-001
    3       3.000s    2.759e-001    2.905e-001    1.460e-002
    4       4.000s    6.908e-002    1.559e-001    8.680e-002
    5       5.000s    3.760e-002    8.517e-002    4.757e-002
    6       6.000s    5.659e-002    4.803e-002   -8.556e-003
    7       7.000s    4.496e-002    2.851e-002   -1.645e-002
    8       8.000s    2.356e-002    1.824e-002   -5.323e-003
    9       9.000s    2.589e-002    1.283e-002   -1.307e-002
   10      10.000s    3.562e-002    9.969e-003   -2.565e-002
   11      11.000s    2.828e-002    8.450e-003   -1.983e-002
   12      12.000s    1.473e-002    7.635e-003   -7.098e-003
   13      13.000s    1.368e-002    7.189e-003   -6.495e-003
   14      14.000s    1.791e-002    6.937e-003   -1.097e-002
   15      15.000s    1.321e-002    6.787e-003   -6.423e-003
   16      16.000s    4.985e-003    6.691e-003    1.707e-003
   17      17.000s    4.018e-003    6.624e-003    2.605e-003
   18      18.000s    5.602e-003    6.571e-003    9.690e-004
   19      19.000s    1.633e-003    6.526e-003    4.893e-003
   20      20.000s    -2.464e-003    6.485e-003    8.949e-003
   21      21.000s    7.014e-004    6.447e-003    5.746e-003
   22      22.000s    5.433e-003    6.410e-003    9.776e-004
   23      23.000s    3.906e-003    6.374e-003    2.468e-003
   24      24.000s    5.790e-004    6.339e-003    5.760e-003
   25      25.000s    2.644e-003    6.303e-003    3.659e-003
   26      26.000s    6.441e-003    6.268e-003   -1.723e-004
   27      27.000s    5.484e-003    6.234e-003    7.494e-004
   28      28.000s    2.985e-003    6.199e-003    3.214e-003
   29      29.000s    5.048e-003    6.165e-003    1.117e-003
   30      30.000s    9.239e-003    6.131e-003   -3.108e-003

============================================================

