SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/480/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 439 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.399e+000    3.310e-002  
T     =       2.821s       17.731s  

RSS   =   2.901e-003
SD    =   9.834e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.012e+000    1.249e-002
    2       2.000s    7.286e-001    7.179e-001   -1.069e-002
    3       3.000s    5.286e-001    5.108e-001   -1.772e-002
    4       4.000s    3.807e-001    3.652e-001   -1.555e-002
    5       5.000s    2.515e-001    2.626e-001    1.116e-002
    6       6.000s    1.621e-001    1.903e-001    2.825e-002
    7       7.000s    1.236e-001    1.393e-001    1.570e-002
    8       8.000s    1.016e-001    1.031e-001    1.571e-003
    9       9.000s    7.281e-002    7.748e-002    4.672e-003
   10      10.000s    5.402e-002    5.921e-002    5.188e-003
   11      11.000s    5.515e-002    4.613e-002   -9.028e-003
   12      12.000s    5.485e-002    3.669e-002   -1.815e-002
   13      13.000s    4.015e-002    2.984e-002   -1.030e-002
   14      14.000s    2.774e-002    2.481e-002   -2.936e-003
   15      15.000s    2.876e-002    2.107e-002   -7.691e-003
   16      16.000s    2.866e-002    1.824e-002   -1.042e-002
   17      17.000s    1.773e-002    1.607e-002   -1.661e-003
   18      18.000s    9.174e-003    1.436e-002    5.188e-003
   19      19.000s    1.210e-002    1.300e-002    8.953e-004
   20      20.000s    1.472e-002    1.188e-002   -2.841e-003
   21      21.000s    8.359e-003    1.094e-002    2.585e-003
   22      22.000s    3.049e-003    1.014e-002    7.096e-003
   23      23.000s    6.335e-003    9.449e-003    3.114e-003
   24      24.000s    9.231e-003    8.833e-003   -3.985e-004
   25      25.000s    5.150e-003    8.280e-003    3.129e-003
   26      26.000s    2.219e-003    7.777e-003    5.558e-003
   27      27.000s    5.897e-003    7.317e-003    1.420e-003
   28      28.000s    8.362e-003    6.892e-003   -1.470e-003
   29      29.000s    4.958e-003    6.497e-003    1.539e-003
   30      30.000s    3.244e-003    6.129e-003    2.886e-003

============================================================

