SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/350/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.864e+000    2.244e-003  
T     =       1.772s    12827994074053.350s  

RSS   =   4.803e-002
SD    =   4.001e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.062e+000    6.226e-002
    2       2.000s    7.521e-001    6.050e-001   -1.471e-001
    3       3.000s    3.715e-001    3.450e-001   -2.645e-002
    4       4.000s    9.515e-002    1.972e-001    1.020e-001
    5       5.000s    1.755e-002    1.131e-001    9.554e-002
    6       6.000s    3.943e-002    6.528e-002    2.584e-002
    7       7.000s    4.231e-002    3.809e-002   -4.221e-003
    8       8.000s    1.951e-002    2.263e-002    3.116e-003
    9       9.000s    1.631e-002    1.383e-002   -2.474e-003
   10      10.000s    3.052e-002    8.835e-003   -2.168e-002
   11      11.000s    2.950e-002    5.992e-003   -2.351e-002
   12      12.000s    1.445e-002    4.375e-003   -1.007e-002
   13      13.000s    1.013e-002    3.456e-003   -6.676e-003
   14      14.000s    1.615e-002    2.933e-003   -1.322e-002
   15      15.000s    1.347e-002    2.636e-003   -1.083e-002
   16      16.000s    3.147e-003    2.466e-003   -6.808e-004
   17      17.000s    1.443e-003    2.370e-003    9.278e-004
   18      18.000s    7.441e-003    2.316e-003   -5.126e-003
   19      19.000s    7.003e-003    2.285e-003   -4.718e-003
   20      20.000s    6.727e-004    2.267e-003    1.594e-003
   21      21.000s    6.065e-004    2.257e-003    1.650e-003
   22      22.000s    6.134e-003    2.251e-003   -3.883e-003
   23      23.000s    6.229e-003    2.248e-003   -3.981e-003
   24      24.000s    1.253e-003    2.246e-003    9.932e-004
   25      25.000s    1.026e-003    2.245e-003    1.219e-003
   26      26.000s    5.324e-003    2.244e-003   -3.080e-003
   27      27.000s    5.418e-003    2.244e-003   -3.174e-003
   28      28.000s    1.671e-003    2.244e-003    5.725e-004
   29      29.000s    2.264e-003    2.244e-003   -2.068e-005
   30      30.000s    7.108e-003    2.244e-003   -4.864e-003

============================================================

