SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/900/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 421 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.439e+000    1.436e-002  
T     =       2.821s       29.523s  

RSS   =   4.493e-003
SD    =   1.224e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.023e+000    2.321e-002
    2       2.000s    7.507e-001    7.215e-001   -2.925e-002
    3       3.000s    5.306e-001    5.097e-001   -2.090e-002
    4       4.000s    3.688e-001    3.610e-001   -7.786e-003
    5       5.000s    2.453e-001    2.566e-001    1.123e-002
    6       6.000s    1.578e-001    1.832e-001    2.536e-002
    7       7.000s    1.099e-001    1.316e-001    2.170e-002
    8       8.000s    8.475e-002    9.535e-002    1.059e-002
    9       9.000s    6.328e-002    6.979e-002    6.514e-003
   10      10.000s    4.669e-002    5.177e-002    5.078e-003
   11      11.000s    4.141e-002    3.903e-002   -2.380e-003
   12      12.000s    4.077e-002    3.000e-002   -1.076e-002
   13      13.000s    3.659e-002    2.359e-002   -1.300e-002
   14      14.000s    3.247e-002    1.900e-002   -1.347e-002
   15      15.000s    3.222e-002    1.570e-002   -1.652e-002
   16      16.000s    2.927e-002    1.330e-002   -1.597e-002
   17      17.000s    1.906e-002    1.155e-002   -7.507e-003
   18      18.000s    9.233e-003    1.024e-002    1.010e-003
   19      19.000s    7.061e-003    9.255e-003    2.194e-003
   20      20.000s    7.790e-003    8.494e-003    7.040e-004
   21      21.000s    4.985e-003    7.893e-003    2.908e-003
   22      22.000s    1.833e-003    7.407e-003    5.574e-003
   23      23.000s    3.062e-003    7.004e-003    3.943e-003
   24      24.000s    5.184e-003    6.661e-003    1.477e-003
   25      25.000s    3.628e-003    6.362e-003    2.734e-003
   26      26.000s    1.349e-003    6.096e-003    4.747e-003
   27      27.000s    2.356e-003    5.855e-003    3.500e-003
   28      28.000s    4.051e-003    5.634e-003    1.583e-003
   29      29.000s    3.110e-003    5.428e-003    2.318e-003
   30      30.000s    1.996e-003    5.234e-003    3.238e-003

============================================================

