SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/760/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.660e+000    7.315e-003  
T     =       2.057s    8733764310608.600s  

RSS   =   7.290e-003
SD    =   1.559e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.028e+000    2.788e-002
    2       2.000s    6.993e-001    6.349e-001   -6.437e-002
    3       3.000s    3.928e-001    3.932e-001    4.016e-004
    4       4.000s    2.097e-001    2.446e-001    3.488e-002
    5       5.000s    1.363e-001    1.532e-001    1.698e-002
    6       6.000s    9.386e-002    9.705e-002    3.191e-003
    7       7.000s    5.196e-002    6.249e-002    1.054e-002
    8       8.000s    2.926e-002    4.125e-002    1.199e-002
    9       9.000s    2.932e-002    2.818e-002   -1.136e-003
   10      10.000s    2.929e-002    2.015e-002   -9.140e-003
   11      11.000s    1.973e-002    1.520e-002   -4.530e-003
   12      12.000s    1.358e-002    1.217e-002   -1.418e-003
   13      13.000s    1.657e-002    1.030e-002   -6.274e-003
   14      14.000s    1.874e-002    9.150e-003   -9.587e-003
   15      15.000s    1.585e-002    8.443e-003   -7.407e-003
   16      16.000s    1.513e-002    8.009e-003   -7.116e-003
   17      17.000s    1.777e-002    7.742e-003   -1.003e-002
   18      18.000s    1.582e-002    7.578e-003   -8.246e-003
   19      19.000s    8.450e-003    7.477e-003   -9.735e-004
   20      20.000s    4.513e-003    7.415e-003    2.902e-003
   21      21.000s    6.618e-003    7.376e-003    7.583e-004
   22      22.000s    7.443e-003    7.353e-003   -9.040e-005
   23      23.000s    4.022e-003    7.338e-003    3.316e-003
   24      24.000s    2.222e-003    7.330e-003    5.108e-003
   25      25.000s    4.611e-003    7.324e-003    2.713e-003
   26      26.000s    6.040e-003    7.321e-003    1.280e-003
   27      27.000s    4.093e-003    7.319e-003    3.225e-003
   28      28.000s    3.230e-003    7.317e-003    4.087e-003
   29      29.000s    5.707e-003    7.317e-003    1.610e-003
   30      30.000s    7.845e-003    7.316e-003   -5.286e-004

============================================================

