SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/350/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.420e+000    1.899e-003  
T     =       3.157s    29305378185971.207s  

RSS   =   6.870e-003
SD    =   1.513e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.037e+000    3.658e-002
    2       2.000s    7.945e-001    7.556e-001   -3.887e-002
    3       3.000s    5.771e-001    5.510e-001   -2.610e-002
    4       4.000s    4.201e-001    4.019e-001   -1.817e-002
    5       5.000s    2.971e-001    2.933e-001   -3.779e-003
    6       6.000s    1.917e-001    2.142e-001    2.244e-002
    7       7.000s    1.233e-001    1.565e-001    3.328e-002
    8       8.000s    9.194e-002    1.146e-001    2.261e-002
    9       9.000s    7.036e-002    8.396e-002    1.361e-002
   10      10.000s    4.771e-002    6.168e-002    1.397e-002
   11      11.000s    3.678e-002    4.545e-002    8.674e-003
   12      12.000s    3.796e-002    3.362e-002   -4.334e-003
   13      13.000s    3.438e-002    2.501e-002   -9.371e-003
   14      14.000s    2.279e-002    1.874e-002   -4.051e-003
   15      15.000s    1.702e-002    1.416e-002   -2.861e-003
   16      16.000s    1.973e-002    1.083e-002   -8.900e-003
   17      17.000s    1.827e-002    8.408e-003   -9.858e-003
   18      18.000s    9.893e-003    6.641e-003   -3.252e-003
   19      19.000s    5.989e-003    5.353e-003   -6.355e-004
   20      20.000s    9.351e-003    4.415e-003   -4.936e-003
   21      21.000s    9.791e-003    3.732e-003   -6.059e-003
   22      22.000s    4.448e-003    3.235e-003   -1.214e-003
   23      23.000s    2.209e-003    2.872e-003    6.624e-004
   24      24.000s    5.552e-003    2.608e-003   -2.945e-003
   25      25.000s    6.389e-003    2.415e-003   -3.974e-003
   26      26.000s    2.434e-003    2.275e-003   -1.592e-004
   27      27.000s    9.510e-004    2.173e-003    1.222e-003
   28      28.000s    3.864e-003    2.099e-003   -1.765e-003
   29      29.000s    4.521e-003    2.045e-003   -2.477e-003
   30      30.000s    1.361e-003    2.005e-003    6.443e-004

============================================================

