SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/820/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.782e+000    4.636e-003  
T     =       1.854s    17738005172134.867s  

RSS   =   2.033e-002
SD    =   2.603e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.044e+000    4.398e-002
    2       2.000s    7.105e-001    6.107e-001   -9.985e-002
    3       3.000s    3.759e-001    3.580e-001   -1.784e-002
    4       4.000s    1.498e-001    2.107e-001    6.089e-002
    5       5.000s    6.692e-002    1.248e-001    5.788e-002
    6       6.000s    5.370e-002    7.471e-002    2.101e-002
    7       7.000s    4.093e-002    4.550e-002    4.564e-003
    8       8.000s    2.331e-002    2.846e-002    5.154e-003
    9       9.000s    1.920e-002    1.853e-002   -6.727e-004
   10      10.000s    2.353e-002    1.274e-002   -1.079e-002
   11      11.000s    2.017e-002    9.360e-003   -1.081e-002
   12      12.000s    1.075e-002    7.391e-003   -3.355e-003
   13      13.000s    7.218e-003    6.242e-003   -9.759e-004
   14      14.000s    1.018e-002    5.573e-003   -4.605e-003
   15      15.000s    1.197e-002    5.182e-003   -6.791e-003
   16      16.000s    1.167e-002    4.955e-003   -6.718e-003
   17      17.000s    1.290e-002    4.822e-003   -8.077e-003
   18      18.000s    1.376e-002    4.744e-003   -9.014e-003
   19      19.000s    1.050e-002    4.699e-003   -5.798e-003
   20      20.000s    5.989e-003    4.673e-003   -1.316e-003
   21      21.000s    5.182e-003    4.658e-003   -5.248e-004
   22      22.000s    6.515e-003    4.649e-003   -1.866e-003
   23      23.000s    5.701e-003    4.643e-003   -1.058e-003
   24      24.000s    3.771e-003    4.640e-003    8.694e-004
   25      25.000s    4.155e-003    4.639e-003    4.838e-004
   26      26.000s    5.684e-003    4.638e-003   -1.047e-003
   27      27.000s    5.235e-003    4.637e-003   -5.982e-004
   28      28.000s    4.030e-003    4.637e-003    6.062e-004
   29      29.000s    5.171e-003    4.636e-003   -5.346e-004
   30      30.000s    7.835e-003    4.636e-003   -3.199e-003

============================================================

