SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/210/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 293 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.982e+000    -4.376e-001  
T     =       1.727s      648.349m  

RSS   =   7.223e-003
SD    =   1.552e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.017e+000    1.687e-002
    2       2.000s    6.499e-001    6.023e-001   -4.761e-002
    3       3.000s    3.302e-001    3.445e-001    1.430e-002
    4       4.000s    1.577e-001    1.945e-001    3.684e-002
    5       5.000s    9.836e-002    1.093e-001    1.097e-002
    6       6.000s    6.739e-002    6.134e-002   -6.054e-003
    7       7.000s    3.750e-002    3.439e-002   -3.112e-003
    8       8.000s    2.617e-002    1.927e-002   -6.892e-003
    9       9.000s    3.204e-002    1.080e-002   -2.124e-002
   10      10.000s    3.263e-002    6.054e-003   -2.658e-002
   11      11.000s    2.305e-002    3.393e-003   -1.965e-002
   12      12.000s    1.721e-002    1.901e-003   -1.531e-002
   13      13.000s    1.827e-002    1.065e-003   -1.721e-002
   14      14.000s    1.612e-002    5.971e-004   -1.552e-002
   15      15.000s    9.568e-003    3.346e-004   -9.233e-003
   16      16.000s    7.509e-003    1.875e-004   -7.321e-003
   17      17.000s    1.036e-002    1.051e-004   -1.026e-002
   18      18.000s    9.583e-003    5.889e-005   -9.524e-003
   19      19.000s    4.308e-003    3.300e-005   -4.275e-003
   20      20.000s    2.230e-003    1.849e-005   -2.211e-003
   21      21.000s    4.767e-003    1.036e-005   -4.757e-003
   22      22.000s    5.473e-003    5.808e-006   -5.468e-003
   23      23.000s    2.827e-003    3.255e-006   -2.824e-003
   24      24.000s    2.070e-003    1.824e-006   -2.068e-003
   25      25.000s    4.292e-003    1.022e-006   -4.291e-003
   26      26.000s    4.814e-003    5.729e-007   -4.814e-003
   27      27.000s    2.805e-003    3.210e-007   -2.805e-003
   28      28.000s    2.742e-003    1.799e-007   -2.742e-003
   29      29.000s    5.774e-003    1.008e-007   -5.774e-003
   30      30.000s    8.239e-003    5.650e-008   -8.239e-003

============================================================

