SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/450/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 285 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.353e+000    1.142e-002  
T     =       1.185s       59.499s  

RSS   =   2.414e-002
SD    =   2.837e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.023e+000    2.264e-002
    2       2.000s    5.389e-001    4.459e-001   -9.301e-002
    3       3.000s    1.403e-001    1.978e-001    5.754e-002
    4       4.000s    5.899e-004    9.105e-002    9.046e-002
    5       5.000s    3.801e-002    4.505e-002    7.047e-003
    6       6.000s    6.589e-002    2.518e-002   -4.071e-002
    7       7.000s    3.251e-002    1.654e-002   -1.597e-002
    8       8.000s    9.059e-003    1.273e-002    3.673e-003
    9       9.000s    2.605e-002    1.100e-002   -1.505e-002
   10      10.000s    3.757e-002    1.016e-002   -2.740e-002
   11      11.000s    2.011e-002    9.714e-003   -1.039e-002
   12      12.000s    5.821e-003    9.431e-003    3.610e-003
   13      13.000s    1.307e-002    9.222e-003   -3.848e-003
   14      14.000s    1.807e-002    9.046e-003   -9.023e-003
   15      15.000s    7.319e-003    8.886e-003    1.567e-003
   16      16.000s    7.589e-004    8.733e-003    7.974e-003
   17      17.000s    9.063e-003    8.586e-003   -4.770e-004
   18      18.000s    1.422e-002    8.442e-003   -5.780e-003
   19      19.000s    6.233e-003    8.301e-003    2.068e-003
   20      20.000s    5.690e-004    8.163e-003    7.594e-003
   21      21.000s    6.321e-003    8.026e-003    1.705e-003
   22      22.000s    1.014e-002    7.893e-003   -2.246e-003
   23      23.000s    3.968e-003    7.761e-003    3.793e-003
   24      24.000s    -2.701e-004    7.632e-003    7.902e-003
   25      25.000s    4.807e-003    7.505e-003    2.698e-003
   26      26.000s    8.550e-003    7.380e-003   -1.170e-003
   27      27.000s    4.151e-003    7.257e-003    3.106e-003
   28      28.000s    1.223e-003    7.136e-003    5.913e-003
   29      29.000s    6.293e-003    7.017e-003    7.235e-004
   30      30.000s    1.110e-002    6.900e-003   -4.197e-003

============================================================

