SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/490/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 212 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.706e+000    1.617e-002  
T     =       1.980s       25.150s  

RSS   =   2.543e-002
SD    =   2.912e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.045e+000    4.468e-002
    2       2.000s    7.458e-001    6.359e-001   -1.099e-001
    3       3.000s    3.925e-001    3.891e-001   -3.468e-003
    4       4.000s    1.574e-001    2.399e-001    8.253e-002
    5       5.000s    9.929e-002    1.497e-001    5.040e-002
    6       6.000s    1.057e-001    9.506e-002   -1.063e-002
    7       7.000s    7.817e-002    6.192e-002   -1.626e-002
    8       8.000s    3.627e-002    4.174e-002    5.466e-003
    9       9.000s    2.994e-002    2.939e-002   -5.495e-004
   10      10.000s    4.469e-002    2.178e-002   -2.291e-002
   11      11.000s    4.024e-002    1.703e-002   -2.321e-002
   12      12.000s    2.121e-002    1.401e-002   -7.201e-003
   13      13.000s    1.616e-002    1.204e-002   -4.122e-003
   14      14.000s    2.263e-002    1.071e-002   -1.192e-002
   15      15.000s    1.901e-002    9.779e-003   -9.227e-003
   16      16.000s    7.361e-003    9.086e-003    1.725e-003
   17      17.000s    5.119e-003    8.543e-003    3.424e-003
   18      18.000s    1.021e-002    8.096e-003   -2.112e-003
   19      19.000s    7.837e-003    7.712e-003   -1.248e-004
   20      20.000s    6.057e-005    7.370e-003    7.310e-003
   21      21.000s    -4.636e-005    7.058e-003    7.104e-003
   22      22.000s    5.640e-003    6.768e-003    1.127e-003
   23      23.000s    5.231e-003    6.495e-003    1.264e-003
   24      24.000s    1.991e-005    6.236e-003    6.216e-003
   25      25.000s    4.215e-004    5.990e-003    5.568e-003
   26      26.000s    5.180e-003    5.754e-003    5.745e-004
   27      27.000s    4.832e-003    5.529e-003    6.968e-004
   28      28.000s    5.566e-004    5.313e-003    4.756e-003
   29      29.000s    1.227e-003    5.105e-003    3.878e-003
   30      30.000s    6.201e-003    4.906e-003   -1.296e-003

============================================================

