SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/490/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.410e+000    7.349e-003  
T     =       3.011s    42175287295081.914s  

RSS   =   3.401e-003
SD    =   1.065e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.019e+000    1.884e-002
    2       2.000s    7.484e-001    7.330e-001   -1.538e-002
    3       3.000s    5.542e-001    5.279e-001   -2.630e-002
    4       4.000s    3.969e-001    3.808e-001   -1.614e-002
    5       5.000s    2.618e-001    2.753e-001    1.346e-002
    6       6.000s    1.724e-001    1.995e-001    2.710e-002
    7       7.000s    1.294e-001    1.452e-001    1.582e-002
    8       8.000s    9.927e-002    1.063e-001    6.986e-003
    9       9.000s    6.811e-002    7.831e-002    1.020e-002
   10      10.000s    5.170e-002    5.825e-002    6.549e-003
   11      11.000s    5.174e-002    4.387e-002   -7.875e-003
   12      12.000s    4.731e-002    3.355e-002   -1.377e-002
   13      13.000s    3.240e-002    2.614e-002   -6.253e-003
   14      14.000s    2.310e-002    2.083e-002   -2.269e-003
   15      15.000s    2.429e-002    1.702e-002   -7.266e-003
   16      16.000s    2.209e-002    1.429e-002   -7.799e-003
   17      17.000s    1.266e-002    1.233e-002   -3.308e-004
   18      18.000s    8.572e-003    1.092e-002    2.348e-003
   19      19.000s    1.298e-002    9.911e-003   -3.066e-003
   20      20.000s    1.391e-002    9.187e-003   -4.725e-003
   21      21.000s    7.902e-003    8.668e-003    7.656e-004
   22      22.000s    5.344e-003    8.295e-003    2.951e-003
   23      23.000s    9.159e-003    8.028e-003   -1.132e-003
   24      24.000s    9.939e-003    7.836e-003   -2.103e-003
   25      25.000s    5.365e-003    7.698e-003    2.333e-003
   26      26.000s    4.182e-003    7.600e-003    3.418e-003
   27      27.000s    8.111e-003    7.529e-003   -5.818e-004
   28      28.000s    8.756e-003    7.478e-003   -1.278e-003
   29      29.000s    4.842e-003    7.442e-003    2.600e-003
   30      30.000s    4.517e-003    7.416e-003    2.899e-003

============================================================

