SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/830/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   6.043e-001    -4.488e-002  
T     =       5.439s        6.935s  

RSS   =   4.464e-001
SD    =   1.220e-001

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    4.640e-001   -5.360e-001
    2       2.000s    6.262e-001    3.848e-001   -2.414e-001
    3       3.000s    2.559e-001    3.190e-001    6.316e-002
    4       4.000s    7.280e-002    2.645e-001    1.917e-001
    5       5.000s    5.847e-002    2.192e-001    1.607e-001
    6       6.000s    7.457e-002    1.816e-001    1.071e-001
    7       7.000s    5.140e-002    1.505e-001    9.911e-002
    8       8.000s    2.537e-002    1.247e-001    9.932e-002
    9       9.000s    2.992e-002    1.033e-001    7.335e-002
   10      10.000s    3.987e-002    8.551e-002    4.564e-002
   11      11.000s    2.910e-002    7.079e-002    4.169e-002
   12      12.000s    1.353e-002    5.860e-002    4.506e-002
   13      13.000s    1.328e-002    4.849e-002    3.521e-002
   14      14.000s    1.807e-002    4.011e-002    2.205e-002
   15      15.000s    1.340e-002    3.318e-002    1.977e-002
   16      16.000s    7.214e-003    2.743e-002    2.022e-002
   17      17.000s    9.607e-003    2.267e-002    1.307e-002
   18      18.000s    1.218e-002    1.874e-002    6.557e-003
   19      19.000s    6.161e-003    1.548e-002    9.315e-003
   20      20.000s    4.983e-005    1.278e-002    1.273e-002
   21      21.000s    2.770e-003    1.055e-002    7.779e-003
   22      22.000s    7.064e-003    8.704e-003    1.640e-003
   23      23.000s    4.284e-003    7.179e-003    2.895e-003
   24      24.000s    1.893e-004    5.919e-003    5.730e-003
   25      25.000s    2.519e-003    4.877e-003    2.359e-003
   26      26.000s    6.430e-003    4.017e-003   -2.413e-003
   27      27.000s    4.971e-003    3.307e-003   -1.664e-003
   28      28.000s    2.295e-003    2.721e-003    4.256e-004
   29      29.000s    4.767e-003    2.237e-003   -2.530e-003
   30      30.000s    9.110e-003    1.838e-003   -7.272e-003

============================================================

