SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/530/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 393 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.854e+000    5.561e-002  
T     =       1.548s       11.542s  

RSS   =   1.258e-002
SD    =   2.047e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.023e+000    2.274e-002
    2       2.000s    6.291e-001    5.560e-001   -7.304e-002
    3       3.000s    2.876e-001    3.098e-001    2.223e-002
    4       4.000s    1.156e-001    1.792e-001    6.363e-002
    5       5.000s    8.695e-002    1.094e-001    2.242e-002
    6       6.000s    9.075e-002    7.149e-002   -1.927e-002
    7       7.000s    7.070e-002    5.046e-002   -2.024e-002
    8       8.000s    4.738e-002    3.836e-002   -9.024e-003
    9       9.000s    4.277e-002    3.103e-002   -1.174e-002
   10      10.000s    4.314e-002    2.628e-002   -1.686e-002
   11      11.000s    3.366e-002    2.296e-002   -1.070e-002
   12      12.000s    2.269e-002    2.046e-002   -2.227e-003
   13      13.000s    1.972e-002    1.845e-002   -1.271e-003
   14      14.000s    1.813e-002    1.675e-002   -1.375e-003
   15      15.000s    1.135e-002    1.528e-002    3.929e-003
   16      16.000s    5.631e-003    1.396e-002    8.332e-003
   17      17.000s    6.566e-003    1.278e-002    6.215e-003
   18      18.000s    8.565e-003    1.171e-002    3.143e-003
   19      19.000s    6.291e-003    1.073e-002    4.439e-003
   20      20.000s    3.791e-003    9.836e-003    6.045e-003
   21      21.000s    5.052e-003    9.018e-003    3.965e-003
   22      22.000s    6.334e-003    8.268e-003    1.934e-003
   23      23.000s    4.329e-003    7.582e-003    3.253e-003
   24      24.000s    2.611e-003    6.952e-003    4.341e-003
   25      25.000s    4.181e-003    6.375e-003    2.194e-003
   26      26.000s    5.722e-003    5.846e-003    1.244e-004
   27      27.000s    4.441e-003    5.361e-003    9.201e-004
   28      28.000s    3.452e-003    4.916e-003    1.464e-003
   29      29.000s    5.699e-003    4.508e-003   -1.192e-003
   30      30.000s    8.968e-003    4.134e-003   -4.834e-003

============================================================

