SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/280/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 373 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.975e+000    1.235e-002  
T     =       1.518s       39.603s  

RSS   =   2.578e-002
SD    =   2.931e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.034e+000    3.423e-002
    2       2.000s    6.471e-001    5.407e-001   -1.064e-001
    3       3.000s    2.611e-001    2.852e-001    2.414e-002
    4       4.000s    5.943e-002    1.528e-001    9.340e-002
    5       5.000s    4.536e-002    8.419e-002    3.883e-002
    6       6.000s    7.071e-002    4.855e-002   -2.216e-002
    7       7.000s    4.992e-002    2.998e-002   -1.994e-002
    8       8.000s    2.075e-002    2.025e-002   -5.008e-004
    9       9.000s    2.555e-002    1.510e-002   -1.046e-002
   10      10.000s    3.884e-002    1.231e-002   -2.652e-002
   11      11.000s    2.913e-002    1.076e-002   -1.837e-002
   12      12.000s    1.303e-002    9.849e-003   -3.177e-003
   13      13.000s    1.406e-002    9.270e-003   -4.789e-003
   14      14.000s    2.002e-002    8.866e-003   -1.115e-002
   15      15.000s    1.294e-002    8.556e-003   -4.388e-003
   16      16.000s    3.255e-003    8.296e-003    5.041e-003
   17      17.000s    5.713e-003    8.066e-003    2.353e-003
   18      18.000s    1.098e-002    7.852e-003   -3.133e-003
   19      19.000s    6.099e-003    7.650e-003    1.551e-003
   20      20.000s    -7.619e-004    7.456e-003    8.218e-003
   21      21.000s    2.050e-003    7.268e-003    5.218e-003
   22      22.000s    7.391e-003    7.086e-003   -3.047e-004
   23      23.000s    4.605e-003    6.909e-003    2.304e-003
   24      24.000s    -3.284e-004    6.737e-003    7.065e-003
   25      25.000s    2.041e-003    6.568e-003    4.528e-003
   26      26.000s    6.453e-003    6.405e-003   -4.801e-005
   27      27.000s    4.469e-003    6.245e-003    1.776e-003
   28      28.000s    9.383e-004    6.089e-003    5.151e-003
   29      29.000s    3.730e-003    5.937e-003    2.207e-003
   30      30.000s    8.689e-003    5.789e-003   -2.900e-003

============================================================

