SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/770/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 4687 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   7.717e+001    -7.578e+001  
T     =       4.079s        4.095s  

RSS   =   4.767e-003
SD    =   1.261e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.028e+000    2.834e-002
    2       2.000s    7.931e-001    7.598e-001   -3.324e-002
    3       3.000s    5.792e-001    5.594e-001   -1.978e-002
    4       4.000s    4.204e-001    4.102e-001   -1.018e-002
    5       5.000s    2.964e-001    2.994e-001    3.038e-003
    6       6.000s    1.953e-001    2.174e-001    2.207e-002
    7       7.000s    1.305e-001    1.569e-001    2.636e-002
    8       8.000s    9.775e-002    1.124e-001    1.464e-002
    9       9.000s    7.359e-002    7.982e-002    6.236e-003
   10      10.000s    5.101e-002    5.610e-002    5.083e-003
   11      11.000s    4.031e-002    3.891e-002   -1.399e-003
   12      12.000s    3.967e-002    2.654e-002   -1.313e-002
   13      13.000s    3.460e-002    1.771e-002   -1.689e-002
   14      14.000s    2.293e-002    1.146e-002   -1.147e-002
   15      15.000s    1.528e-002    7.089e-003   -8.188e-003
   16      16.000s    1.313e-002    4.076e-003   -9.054e-003
   17      17.000s    8.063e-003    2.037e-003   -6.026e-003
   18      18.000s    3.140e-004    6.909e-004    3.769e-004
   19      19.000s    -1.532e-003    -1.668e-004    1.365e-003
   20      20.000s    2.188e-003    -6.847e-004   -2.873e-003
   21      21.000s    2.710e-003    -9.700e-004   -3.680e-003
   22      22.000s    -7.052e-004    -1.099e-003   -3.939e-004
   23      23.000s    -6.268e-004    -1.127e-003   -4.998e-004
   24      24.000s    3.458e-003    -1.090e-003   -4.548e-003
   25      25.000s    4.542e-003    -1.017e-003   -5.559e-003
   26      26.000s    1.737e-003    -9.237e-004   -2.661e-003
   27      27.000s    1.057e-003    -8.231e-004   -1.880e-003
   28      28.000s    3.242e-003    -7.227e-004   -3.964e-003
   29      29.000s    3.170e-003    -6.271e-004   -3.797e-003
   30      30.000s    7.396e-004    -5.390e-004   -1.279e-003

============================================================

