SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/410/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 389 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.464e+000    6.285e-002  
T     =       1.058s       10.362s  

RSS   =   2.051e-002
SD    =   2.615e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.015e+000    1.491e-002
    2       2.000s    4.975e-001    4.242e-001   -7.335e-002
    3       3.000s    1.212e-001    1.918e-001    7.057e-002
    4       4.000s    3.074e-002    9.899e-002    6.824e-002
    5       5.000s    8.608e-002    6.067e-002   -2.541e-002
    6       6.000s    9.496e-002    4.373e-002   -5.123e-002
    7       7.000s    4.413e-002    3.529e-002   -8.839e-003
    8       8.000s    2.373e-002    3.033e-002    6.596e-003
    9       9.000s    4.588e-002    2.687e-002   -1.901e-002
   10      10.000s    4.970e-002    2.414e-002   -2.557e-002
   11      11.000s    2.269e-002    2.182e-002   -8.745e-004
   12      12.000s    8.930e-003    1.977e-002    1.084e-002
   13      13.000s    1.976e-002    1.794e-002   -1.821e-003
   14      14.000s    2.180e-002    1.628e-002   -5.522e-003
   15      15.000s    5.953e-003    1.478e-002    8.828e-003
   16      16.000s    -8.026e-004    1.342e-002    1.422e-002
   17      17.000s    8.818e-003    1.219e-002    3.367e-003
   18      18.000s    1.172e-002    1.106e-002   -6.555e-004
   19      19.000s    1.466e-003    1.005e-002    8.580e-003
   20      20.000s    -2.102e-003    9.122e-003    1.122e-002
   21      21.000s    6.328e-003    8.283e-003    1.955e-003
   22      22.000s    8.778e-003    7.521e-003   -1.258e-003
   23      23.000s    2.386e-004    6.829e-003    6.590e-003
   24      24.000s    -2.928e-003    6.201e-003    9.128e-003
   25      25.000s    4.453e-003    5.630e-003    1.177e-003
   26      26.000s    7.888e-003    5.112e-003   -2.776e-003
   27      27.000s    2.266e-003    4.642e-003    2.375e-003
   28      28.000s    2.638e-004    4.215e-003    3.951e-003
   29      29.000s    6.681e-003    3.827e-003   -2.854e-003
   30      30.000s    1.063e-002    3.475e-003   -7.156e-003

============================================================

