SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/60/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 157 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.409e+000    8.901e-003  
T     =       3.037s      298.710s  

RSS   =   3.647e-003
SD    =   1.103e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.023e+000    2.277e-002
    2       2.000s    7.618e-001    7.383e-001   -2.343e-002
    3       3.000s    5.560e-001    5.337e-001   -2.235e-002
    4       4.000s    3.996e-001    3.864e-001   -1.325e-002
    5       5.000s    2.740e-001    2.804e-001    6.469e-003
    6       6.000s    1.820e-001    2.042e-001    2.216e-002
    7       7.000s    1.286e-001    1.493e-001    2.069e-002
    8       8.000s    9.685e-002    1.099e-001    1.300e-002
    9       9.000s    7.042e-002    8.144e-002    1.102e-002
   10      10.000s    5.270e-002    6.099e-002    8.283e-003
   11      11.000s    4.776e-002    4.627e-002   -1.493e-003
   12      12.000s    4.513e-002    3.566e-002   -9.465e-003
   13      13.000s    3.658e-002    2.803e-002   -8.547e-003
   14      14.000s    2.881e-002    2.253e-002   -6.277e-003
   15      15.000s    2.791e-002    1.856e-002   -9.350e-003
   16      16.000s    2.727e-002    1.570e-002   -1.157e-002
   17      17.000s    2.102e-002    1.364e-002   -7.387e-003
   18      18.000s    1.498e-002    1.214e-002   -2.840e-003
   19      19.000s    1.456e-002    1.106e-002   -3.505e-003
   20      20.000s    1.465e-002    1.027e-002   -4.380e-003
   21      21.000s    1.040e-002    9.697e-003   -7.030e-004
   22      22.000s    6.575e-003    9.276e-003    2.702e-003
   23      23.000s    7.730e-003    8.966e-003    1.236e-003
   24      24.000s    9.427e-003    8.735e-003   -6.921e-004
   25      25.000s    7.104e-003    8.561e-003    1.457e-003
   26      26.000s    4.399e-003    8.429e-003    4.030e-003
   27      27.000s    5.372e-003    8.326e-003    2.953e-003
   28      28.000s    6.892e-003    8.244e-003    1.352e-003
   29      29.000s    5.448e-003    8.178e-003    2.730e-003
   30      30.000s    3.776e-003    8.122e-003    4.346e-003

============================================================

