SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/560/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.365e+000    1.250e-002  
T     =       3.511s    50399135940327.312s  

RSS   =   7.144e-003
SD    =   1.543e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.039e+000    3.947e-002
    2       2.000s    8.228e-001    7.849e-001   -3.784e-002
    3       3.000s    6.351e-001    5.935e-001   -4.159e-002
    4       4.000s    4.618e-001    4.495e-001   -1.228e-002
    5       5.000s    3.264e-001    3.412e-001    1.473e-002
    6       6.000s    2.368e-001    2.597e-001    2.290e-002
    7       7.000s    1.775e-001    1.984e-001    2.096e-002
    8       8.000s    1.326e-001    1.524e-001    1.976e-002
    9       9.000s    1.016e-001    1.177e-001    1.611e-002
   10      10.000s    8.543e-002    9.162e-002    6.193e-003
   11      11.000s    7.476e-002    7.201e-002   -2.751e-003
   12      12.000s    6.171e-002    5.726e-002   -4.453e-003
   13      13.000s    5.019e-002    4.617e-002   -4.024e-003
   14      14.000s    4.490e-002    3.782e-002   -7.079e-003
   15      15.000s    4.123e-002    3.155e-002   -9.678e-003
   16      16.000s    3.426e-002    2.683e-002   -7.428e-003
   17      17.000s    2.777e-002    2.328e-002   -4.494e-003
   18      18.000s    2.605e-002    2.061e-002   -5.441e-003
   19      19.000s    2.542e-002    1.860e-002   -6.818e-003
   20      20.000s    2.154e-002    1.709e-002   -4.448e-003
   21      21.000s    1.734e-002    1.595e-002   -1.391e-003
   22      22.000s    1.667e-002    1.510e-002   -1.572e-003
   23      23.000s    1.685e-002    1.446e-002   -2.399e-003
   24      24.000s    1.433e-002    1.397e-002   -3.603e-004
   25      25.000s    1.140e-002    1.361e-002    2.205e-003
   26      26.000s    1.124e-002    1.333e-002    2.092e-003
   27      27.000s    1.182e-002    1.313e-002    1.312e-003
   28      28.000s    1.046e-002    1.297e-002    2.515e-003
   29      29.000s    9.249e-003    1.286e-002    3.609e-003
   30      30.000s    1.058e-002    1.277e-002    2.189e-003

============================================================

