SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/880/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 167 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.749e+000    -3.025e-004  
T     =       2.022s      454.670s  

RSS   =   3.934e-002
SD    =   3.621e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.066e+000    6.615e-002
    2       2.000s    7.818e-001    6.501e-001   -1.318e-001
    3       3.000s    4.439e-001    3.963e-001   -4.761e-002
    4       4.000s    1.732e-001    2.416e-001    6.841e-002
    5       5.000s    5.917e-002    1.472e-001    8.805e-002
    6       6.000s    4.557e-002    8.966e-002    4.410e-002
    7       7.000s    4.252e-002    5.457e-002    1.204e-002
    8       8.000s    2.713e-002    3.316e-002    6.035e-003
    9       9.000s    2.062e-002    2.011e-002   -5.128e-004
   10      10.000s    2.475e-002    1.215e-002   -1.260e-002
   11      11.000s    2.188e-002    7.294e-003   -1.459e-002
   12      12.000s    1.095e-002    4.334e-003   -6.620e-003
   13      13.000s    5.597e-003    2.529e-003   -3.068e-003
   14      14.000s    7.224e-003    1.428e-003   -5.796e-003
   15      15.000s    6.127e-003    7.571e-004   -5.370e-003
   16      16.000s    2.100e-003    3.482e-004   -1.752e-003
   17      17.000s    2.750e-003    9.906e-005   -2.651e-003
   18      18.000s    6.605e-003    -5.262e-005   -6.658e-003
   19      19.000s    5.775e-003    -1.449e-004   -5.920e-003
   20      20.000s    1.406e-003    -2.009e-004   -1.607e-003
   21      21.000s    1.138e-003    -2.348e-004   -1.373e-003
   22      22.000s    4.528e-003    -2.552e-004   -4.783e-003
   23      23.000s    4.687e-003    -2.675e-004   -4.955e-003
   24      24.000s    1.637e-003    -2.747e-004   -1.912e-003
   25      25.000s    1.508e-003    -2.788e-004   -1.787e-003
   26      26.000s    4.551e-003    -2.811e-004   -4.832e-003
   27      27.000s    5.359e-003    -2.822e-004   -5.641e-003
   28      28.000s    3.567e-003    -2.827e-004   -3.850e-003
   29      29.000s    3.990e-003    -2.827e-004   -4.273e-003
   30      30.000s    7.126e-003    -2.825e-004   -7.409e-003

============================================================

