SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/290/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 235 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.411e+000    1.840e-002  
T     =       2.961s       30.804s  

RSS   =   5.108e-003
SD    =   1.305e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.025e+000    2.464e-002
    2       2.000s    7.611e-001    7.355e-001   -2.560e-002
    3       3.000s    5.609e-001    5.292e-001   -3.176e-002
    4       4.000s    3.921e-001    3.818e-001   -1.032e-002
    5       5.000s    2.569e-001    2.765e-001    1.960e-002
    6       6.000s    1.723e-001    2.012e-001    2.889e-002
    7       7.000s    1.289e-001    1.474e-001    1.852e-002
    8       8.000s    9.791e-002    1.089e-001    1.099e-002
    9       9.000s    7.120e-002    8.131e-002    1.011e-002
   10      10.000s    5.862e-002    6.150e-002    2.885e-003
   11      11.000s    5.683e-002    4.726e-002   -9.563e-003
   12      12.000s    5.096e-002    3.700e-002   -1.396e-002
   13      13.000s    4.011e-002    2.957e-002   -1.054e-002
   14      14.000s    3.476e-002    2.417e-002   -1.059e-002
   15      15.000s    3.404e-002    2.021e-002   -1.383e-002
   16      16.000s    2.801e-002    1.730e-002   -1.071e-002
   17      17.000s    1.785e-002    1.513e-002   -2.724e-003
   18      18.000s    1.352e-002    1.349e-002   -2.934e-005
   19      19.000s    1.480e-002    1.224e-002   -2.564e-003
   20      20.000s    1.284e-002    1.126e-002   -1.587e-003
   21      21.000s    7.359e-003    1.048e-002    3.119e-003
   22      22.000s    5.715e-003    9.844e-003    4.129e-003
   23      23.000s    7.809e-003    9.317e-003    1.508e-003
   24      24.000s    7.010e-003    8.867e-003    1.857e-003
   25      25.000s    3.679e-003    8.475e-003    4.796e-003
   26      26.000s    3.763e-003    8.127e-003    4.364e-003
   27      27.000s    6.389e-003    7.812e-003    1.423e-003
   28      28.000s    5.812e-003    7.523e-003    1.711e-003
   29      29.000s    3.162e-003    7.254e-003    4.092e-003
   30      30.000s    4.067e-003    7.003e-003    2.935e-003

============================================================

