SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/50/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 2588 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.951e+000    -4.527e+003  
T     =       1.617s       87.823m  

RSS   =   8.538e-003
SD    =   1.687e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.000e+000    1.692e-006
    2       2.000s    5.853e-001    5.664e-001   -1.891e-002
    3       3.000s    2.658e-001    3.052e-001    3.934e-002
    4       4.000s    1.415e-001    1.644e-001    2.290e-002
    5       5.000s    1.185e-001    8.858e-002   -2.987e-002
    6       6.000s    8.306e-002    4.772e-002   -3.534e-002
    7       7.000s    3.389e-002    2.571e-002   -8.184e-003
    8       8.000s    1.951e-002    1.385e-002   -5.662e-003
    9       9.000s    3.449e-002    7.463e-003   -2.703e-002
   10      10.000s    3.731e-002    4.021e-003   -3.329e-002
   11      11.000s    2.255e-002    2.166e-003   -2.039e-002
   12      12.000s    1.592e-002    1.167e-003   -1.475e-002
   13      13.000s    2.113e-002    6.287e-004   -2.050e-002
   14      14.000s    1.966e-002    3.387e-004   -1.932e-002
   15      15.000s    9.860e-003    1.825e-004   -9.677e-003
   16      16.000s    6.676e-003    9.832e-005   -6.578e-003
   17      17.000s    1.038e-002    5.297e-005   -1.032e-002
   18      18.000s    7.785e-003    2.854e-005   -7.757e-003
   19      19.000s    -5.562e-004    1.538e-005    5.716e-004
   20      20.000s    -1.954e-003    8.284e-006    1.962e-003
   21      21.000s    3.697e-003    4.463e-006   -3.693e-003
   22      22.000s    4.784e-003    2.404e-006   -4.781e-003
   23      23.000s    4.334e-004    1.295e-006   -4.321e-004
   24      24.000s    5.508e-004    6.979e-007   -5.501e-004
   25      25.000s    5.736e-003    3.760e-007   -5.736e-003
   26      26.000s    6.801e-003    2.026e-007   -6.801e-003
   27      27.000s    2.960e-003    1.091e-007   -2.960e-003
   28      28.000s    2.766e-003    5.880e-008   -2.766e-003
   29      29.000s    7.603e-003    3.168e-008   -7.602e-003
   30      30.000s    1.025e-002    1.707e-008   -1.025e-002

============================================================

