SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/130/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.242e+000    -1.483e-001  
T     =       2.307s        5.380s  

RSS   =   1.451e-001
SD    =   6.954e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    6.823e-001   -3.177e-001
    2       2.000s    6.605e-001    4.199e-001   -2.407e-001
    3       3.000s    2.869e-001    2.536e-001   -3.329e-002
    4       4.000s    8.403e-002    1.489e-001    6.491e-002
    5       5.000s    5.275e-002    8.372e-002    3.097e-002
    6       6.000s    6.118e-002    4.361e-002   -1.756e-002
    7       7.000s    3.813e-002    1.942e-002   -1.871e-002
    8       8.000s    1.559e-002    5.241e-003   -1.035e-002
    9       9.000s    2.206e-002    -2.706e-003   -2.477e-002
   10      10.000s    3.096e-002    -6.823e-003   -3.779e-002
   11      11.000s    1.959e-002    -8.632e-003   -2.823e-002
   12      12.000s    6.418e-003    -9.091e-003   -1.551e-002
   13      13.000s    8.802e-003    -8.796e-003   -1.760e-002
   14      14.000s    1.301e-002    -8.112e-003   -2.112e-002
   15      15.000s    6.123e-003    -7.260e-003   -1.338e-002
   16      16.000s    1.429e-005    -6.369e-003   -6.383e-003
   17      17.000s    4.988e-003    -5.509e-003   -1.050e-002
   18      18.000s    9.848e-003    -4.717e-003   -1.457e-002
   19      19.000s    4.907e-003    -4.010e-003   -8.916e-003
   20      20.000s    -2.354e-004    -3.390e-003   -3.154e-003
   21      21.000s    3.232e-003    -2.854e-003   -6.086e-003
   22      22.000s    7.080e-003    -2.395e-003   -9.474e-003
   23      23.000s    3.447e-003    -2.005e-003   -5.452e-003
   24      24.000s    -4.409e-004    -1.675e-003   -1.235e-003
   25      25.000s    2.456e-003    -1.398e-003   -3.854e-003
   26      26.000s    5.692e-003    -1.165e-003   -6.858e-003
   27      27.000s    2.978e-003    -9.707e-004   -3.949e-003
   28      28.000s    2.961e-004    -8.079e-004   -1.104e-003
   29      29.000s    3.593e-003    -6.721e-004   -4.265e-003
   30      30.000s    7.605e-003    -5.589e-004   -8.164e-003

============================================================

