SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/570/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 438 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.693e+000    5.627e-002  
T     =       1.777s       11.507s  

RSS   =   4.652e-003
SD    =   1.245e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.016e+000    1.594e-002
    2       2.000s    6.446e-001    5.967e-001   -4.793e-002
    3       3.000s    3.408e-001    3.563e-001    1.553e-002
    4       4.000s    1.831e-001    2.180e-001    3.497e-002
    5       5.000s    1.312e-001    1.380e-001    6.857e-003
    6       6.000s    1.016e-001    9.127e-002   -1.037e-002
    7       7.000s    6.638e-002    6.359e-002   -2.795e-003
    8       8.000s    4.474e-002    4.685e-002    2.119e-003
    9       9.000s    4.282e-002    3.644e-002   -6.383e-003
   10      10.000s    4.201e-002    2.969e-002   -1.232e-002
   11      11.000s    3.277e-002    2.511e-002   -7.664e-003
   12      12.000s    2.463e-002    2.181e-002   -2.816e-003
   13      13.000s    2.321e-002    1.931e-002   -3.899e-003
   14      14.000s    2.142e-002    1.731e-002   -4.105e-003
   15      15.000s    1.529e-002    1.565e-002    3.579e-004
   16      16.000s    1.043e-002    1.422e-002    3.789e-003
   17      17.000s    9.747e-003    1.296e-002    3.215e-003
   18      18.000s    8.700e-003    1.184e-002    3.142e-003
   19      19.000s    5.386e-003    1.083e-002    5.447e-003
   20      20.000s    4.032e-003    9.918e-003    5.886e-003
   21      21.000s    5.988e-003    9.085e-003    3.097e-003
   22      22.000s    6.857e-003    8.324e-003    1.468e-003
   23      23.000s    4.792e-003    7.629e-003    2.837e-003
   24      24.000s    3.425e-003    6.993e-003    3.567e-003
   25      25.000s    4.607e-003    6.410e-003    1.802e-003
   26      26.000s    5.519e-003    5.876e-003    3.565e-004
   27      27.000s    4.791e-003    5.386e-003    5.959e-004
   28      28.000s    4.999e-003    4.938e-003   -6.094e-005
   29      29.000s    7.421e-003    4.527e-003   -2.894e-003
   30      30.000s    1.005e-002    4.150e-003   -5.904e-003

============================================================

