SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/550/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 178 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.837e+000    1.685e-001  
T     =       1.509s        1.509s  

RSS   =   2.922e-002
SD    =   3.121e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.034e+000    3.366e-002
    2       2.000s    6.414e-001    5.328e-001   -1.086e-001
    3       3.000s    2.427e-001    2.746e-001    3.189e-002
    4       4.000s    4.372e-002    1.416e-001    9.784e-002
    5       5.000s    4.171e-002    7.297e-002    3.125e-002
    6       6.000s    6.920e-002    3.761e-002   -3.159e-002
    7       7.000s    4.018e-002    1.939e-002   -2.079e-002
    8       8.000s    8.478e-003    9.993e-003    1.515e-003
    9       9.000s    2.093e-002    5.151e-003   -1.578e-002
   10      10.000s    3.995e-002    2.655e-003   -3.730e-002
   11      11.000s    2.745e-002    1.368e-003   -2.608e-002
   12      12.000s    7.751e-003    7.054e-004   -7.046e-003
   13      13.000s    1.068e-002    3.636e-004   -1.032e-002
   14      14.000s    1.925e-002    1.874e-004   -1.907e-002
   15      15.000s    1.054e-002    9.660e-005   -1.044e-002
   16      16.000s    -1.539e-003    4.979e-005    1.589e-003
   17      17.000s    1.961e-003    2.567e-005   -1.935e-003
   18      18.000s    9.204e-003    1.323e-005   -9.191e-003
   19      19.000s    3.958e-003    6.819e-006   -3.951e-003
   20      20.000s    -3.560e-003    3.515e-006    3.563e-003
   21      21.000s    7.400e-004    1.812e-006   -7.382e-004
   22      22.000s    7.569e-003    9.338e-007   -7.568e-003
   23      23.000s    3.961e-003    4.813e-007   -3.961e-003
   24      24.000s    -2.128e-003    2.481e-007    2.128e-003
   25      25.000s    9.965e-004    1.279e-007   -9.963e-004
   26      26.000s    6.431e-003    6.592e-008   -6.431e-003
   27      27.000s    3.732e-003    3.398e-008   -3.732e-003
   28      28.000s    -7.783e-004    1.751e-008    7.783e-004
   29      29.000s    2.632e-003    9.028e-009   -2.632e-003
   30      30.000s    8.522e-003    4.653e-009   -8.522e-003

============================================================

