SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/600/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 456 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.422e+000    1.811e-002  
T     =       2.841s       20.317s  

RSS   =   3.577e-003
SD    =   1.092e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.017e+000    1.725e-002
    2       2.000s    7.384e-001    7.197e-001   -1.865e-002
    3       3.000s    5.294e-001    5.103e-001   -1.908e-002
    4       4.000s    3.756e-001    3.628e-001   -1.280e-002
    5       5.000s    2.490e-001    2.588e-001    9.813e-003
    6       6.000s    1.584e-001    1.856e-001    2.713e-002
    7       7.000s    1.128e-001    1.339e-001    2.102e-002
    8       8.000s    8.915e-002    9.734e-002    8.192e-003
    9       9.000s    6.590e-002    7.150e-002    5.598e-003
   10      10.000s    4.978e-002    5.318e-002    3.401e-003
   11      11.000s    4.830e-002    4.015e-002   -8.148e-003
   12      12.000s    4.831e-002    3.086e-002   -1.745e-002
   13      13.000s    3.883e-002    2.420e-002   -1.463e-002
   14      14.000s    2.878e-002    1.940e-002   -9.382e-003
   15      15.000s    2.637e-002    1.590e-002   -1.047e-002
   16      16.000s    2.347e-002    1.334e-002   -1.013e-002
   17      17.000s    1.361e-002    1.143e-002   -2.180e-003
   18      18.000s    5.494e-003    9.988e-003    4.494e-003
   19      19.000s    6.083e-003    8.882e-003    2.799e-003
   20      20.000s    7.868e-003    8.014e-003    1.464e-004
   21      21.000s    4.106e-003    7.319e-003    3.214e-003
   22      22.000s    7.242e-004    6.750e-003    6.025e-003
   23      23.000s    3.013e-003    6.272e-003    3.259e-003
   24      24.000s    5.216e-003    5.863e-003    6.472e-004
   25      25.000s    2.722e-003    5.506e-003    2.784e-003
   26      26.000s    9.773e-004    5.188e-003    4.211e-003
   27      27.000s    3.734e-003    4.901e-003    1.167e-003
   28      28.000s    5.290e-003    4.639e-003   -6.512e-004
   29      29.000s    2.253e-003    4.398e-003    2.145e-003
   30      30.000s    6.183e-004    4.174e-003    3.555e-003

============================================================

