SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/750/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 129 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.414e+000    7.082e-003  
T     =       3.144s      193.607s  

RSS   =   7.226e-003
SD    =   1.552e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.036e+000    3.563e-002
    2       2.000s    7.988e-001    7.554e-001   -4.342e-002
    3       3.000s    5.813e-001    5.515e-001   -2.980e-002
    4       4.000s    4.079e-001    4.031e-001   -4.827e-003
    5       5.000s    2.846e-001    2.951e-001    1.058e-002
    6       6.000s    1.955e-001    2.166e-001    2.103e-002
    7       7.000s    1.336e-001    1.594e-001    2.579e-002
    8       8.000s    9.654e-002    1.178e-001    2.127e-002
    9       9.000s    7.530e-002    8.753e-002    1.223e-002
   10      10.000s    5.962e-002    6.549e-002    5.875e-003
   11      11.000s    4.795e-002    4.945e-002    1.503e-003
   12      12.000s    4.312e-002    3.777e-002   -5.351e-003
   13      13.000s    4.254e-002    2.926e-002   -1.328e-002
   14      14.000s    4.027e-002    2.306e-002   -1.721e-002
   15      15.000s    3.508e-002    1.854e-002   -1.654e-002
   16      16.000s    2.971e-002    1.524e-002   -1.448e-002
   17      17.000s    2.455e-002    1.283e-002   -1.172e-002
   18      18.000s    1.813e-002    1.107e-002   -7.057e-003
   19      19.000s    1.189e-002    9.778e-003   -2.116e-003
   20      20.000s    8.751e-003    8.830e-003    7.880e-005
   21      21.000s    8.021e-003    8.131e-003    1.102e-004
   22      22.000s    6.671e-003    7.614e-003    9.430e-004
   23      23.000s    4.442e-003    7.230e-003    2.787e-003
   24      24.000s    3.436e-003    6.941e-003    3.505e-003
   25      25.000s    3.658e-003    6.722e-003    3.064e-003
   26      26.000s    3.181e-003    6.554e-003    3.373e-003
   27      27.000s    1.967e-003    6.424e-003    4.457e-003
   28      28.000s    1.609e-003    6.320e-003    4.711e-003
   29      29.000s    1.880e-003    6.236e-003    4.357e-003
   30      30.000s    1.279e-003    6.167e-003    4.888e-003

============================================================

