SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/240/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 133 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.371e+000    8.708e-003  
T     =       3.292s      180.436s  

RSS   =   3.051e-003
SD    =   1.008e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.020e+000    2.047e-002
    2       2.000s    7.766e-001    7.554e-001   -2.126e-002
    3       3.000s    5.757e-001    5.597e-001   -1.598e-002
    4       4.000s    4.293e-001    4.153e-001   -1.404e-002
    5       5.000s    3.082e-001    3.087e-001    4.107e-004
    6       6.000s    2.097e-001    2.300e-001    2.025e-002
    7       7.000s    1.497e-001    1.719e-001    2.219e-002
    8       8.000s    1.178e-001    1.290e-001    1.125e-002
    9       9.000s    9.011e-002    9.734e-002    7.233e-003
   10      10.000s    6.596e-002    7.397e-002    8.009e-003
   11      11.000s    5.647e-002    5.670e-002    2.331e-004
   12      12.000s    5.493e-002    4.395e-002   -1.098e-002
   13      13.000s    4.645e-002    3.453e-002   -1.192e-002
   14      14.000s    3.383e-002    2.756e-002   -6.275e-003
   15      15.000s    2.891e-002    2.241e-002   -6.505e-003
   16      16.000s    2.892e-002    1.859e-002   -1.033e-002
   17      17.000s    2.329e-002    1.576e-002   -7.521e-003
   18      18.000s    1.441e-002    1.367e-002   -7.446e-004
   19      19.000s    1.189e-002    1.211e-002    2.140e-004
   20      20.000s    1.378e-002    1.095e-002   -2.835e-003
   21      21.000s    1.140e-002    1.008e-002   -1.323e-003
   22      22.000s    6.284e-003    9.425e-003    3.141e-003
   23      23.000s    6.056e-003    8.933e-003    2.876e-003
   24      24.000s    9.100e-003    8.558e-003   -5.415e-004
   25      25.000s    8.167e-003    8.271e-003    1.046e-004
   26      26.000s    4.371e-003    8.049e-003    3.677e-003
   27      27.000s    4.109e-003    7.874e-003    3.765e-003
   28      28.000s    6.461e-003    7.734e-003    1.273e-003
   29      29.000s    5.981e-003    7.620e-003    1.639e-003
   30      30.000s    3.799e-003    7.525e-003    3.726e-003

============================================================

