SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/540/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 214 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.834e+000    2.891e-002  
T     =       1.654s       20.439s  

RSS   =   1.601e-002
SD    =   2.310e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.029e+000    2.936e-002
    2       2.000s    6.609e-001    5.735e-001   -8.740e-002
    3       3.000s    3.036e-001    3.240e-001    2.035e-002
    4       4.000s    1.177e-001    1.871e-001    6.945e-002
    5       5.000s    8.762e-002    1.119e-001    2.425e-002
    6       6.000s    8.495e-002    7.031e-002   -1.464e-002
    7       7.000s    5.432e-002    4.716e-002   -7.162e-003
    8       8.000s    3.346e-002    3.410e-002    6.368e-004
    9       9.000s    4.230e-002    2.656e-002   -1.574e-002
   10      10.000s    4.788e-002    2.207e-002   -2.581e-002
   11      11.000s    3.182e-002    1.925e-002   -1.257e-002
   12      12.000s    1.773e-002    1.737e-002   -3.630e-004
   13      13.000s    2.070e-002    1.601e-002   -4.682e-003
   14      14.000s    2.314e-002    1.496e-002   -8.177e-003
   15      15.000s    1.354e-002    1.409e-002    5.540e-004
   16      16.000s    6.547e-003    1.333e-002    6.785e-003
   17      17.000s    1.141e-002    1.265e-002    1.234e-003
   18      18.000s    1.487e-002    1.202e-002   -2.855e-003
   19      19.000s    8.291e-003    1.143e-002    3.140e-003
   20      20.000s    3.020e-003    1.088e-002    7.857e-003
   21      21.000s    6.860e-003    1.035e-002    3.494e-003
   22      22.000s    1.000e-002    9.857e-003   -1.460e-004
   23      23.000s    5.473e-003    9.385e-003    3.912e-003
   24      24.000s    1.890e-003    8.937e-003    7.047e-003
   25      25.000s    5.491e-003    8.509e-003    3.019e-003
   26      26.000s    8.542e-003    8.103e-003   -4.392e-004
   27      27.000s    5.362e-003    7.716e-003    2.354e-003
   28      28.000s    2.952e-003    7.347e-003    4.395e-003
   29      29.000s    6.658e-003    6.997e-003    3.381e-004
   30      30.000s    1.038e-002    6.662e-003   -3.716e-003

============================================================

