SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/390/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 311 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.011e+000    1.571e-002  
T     =       1.470s       28.352s  

RSS   =   2.799e-002
SD    =   3.054e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.034e+000    3.387e-002
    2       2.000s    6.398e-001    5.306e-001   -1.092e-001
    3       3.000s    2.459e-001    2.755e-001    2.955e-002
    4       4.000s    4.788e-002    1.460e-001    9.813e-002
    5       5.000s    4.199e-002    8.022e-002    3.823e-002
    6       6.000s    7.145e-002    4.667e-002   -2.477e-002
    7       7.000s    5.254e-002    2.947e-002   -2.306e-002
    8       8.000s    2.654e-002    2.056e-002   -5.982e-003
    9       9.000s    3.247e-002    1.585e-002   -1.662e-002
   10      10.000s    4.198e-002    1.328e-002   -2.870e-002
   11      11.000s    2.801e-002    1.179e-002   -1.622e-002
   12      12.000s    1.180e-002    1.086e-002   -9.354e-004
   13      13.000s    1.437e-002    1.022e-002   -4.144e-003
   14      14.000s    1.942e-002    9.735e-003   -9.683e-003
   15      15.000s    1.047e-002    9.331e-003   -1.137e-003
   16      16.000s    1.177e-003    8.973e-003    7.796e-003
   17      17.000s    5.175e-003    8.645e-003    3.470e-003
   18      18.000s    1.052e-002    8.336e-003   -2.183e-003
   19      19.000s    5.239e-003    8.043e-003    2.804e-003
   20      20.000s    -5.162e-004    7.762e-003    8.278e-003
   21      21.000s    3.471e-003    7.492e-003    4.021e-003
   22      22.000s    8.006e-003    7.232e-003   -7.747e-004
   23      23.000s    3.913e-003    6.981e-003    3.068e-003
   24      24.000s    -5.850e-004    6.739e-003    7.324e-003
   25      25.000s    2.766e-003    6.505e-003    3.739e-003
   26      26.000s    6.560e-003    6.280e-003   -2.803e-004
   27      27.000s    3.419e-003    6.062e-003    2.643e-003
   28      28.000s    2.696e-004    5.852e-003    5.582e-003
   29      29.000s    4.017e-003    5.649e-003    1.632e-003
   30      30.000s    8.426e-003    5.453e-003   -2.972e-003

============================================================

