SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/250/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 318 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.013e+000    2.978e-002  
T     =       1.401s       12.996s  

RSS   =   8.823e-003
SD    =   1.715e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.014e+000    1.375e-002
    2       2.000s    5.631e-001    5.086e-001   -5.445e-002
    3       3.000s    2.192e-001    2.603e-001    4.114e-002
    4       4.000s    9.796e-002    1.378e-001    3.988e-002
    5       5.000s    9.535e-002    7.707e-002   -1.829e-002
    6       6.000s    7.157e-002    4.659e-002   -2.497e-002
    7       7.000s    2.212e-002    3.101e-002    8.889e-003
    8       8.000s    1.028e-002    2.277e-002    1.249e-002
    9       9.000s    3.300e-002    1.817e-002   -1.483e-002
   10      10.000s    3.768e-002    1.540e-002   -2.229e-002
   11      11.000s    1.705e-002    1.356e-002   -3.490e-003
   12      12.000s    6.976e-003    1.221e-002    5.236e-003
   13      13.000s    1.475e-002    1.114e-002   -3.610e-003
   14      14.000s    1.459e-002    1.023e-002   -4.355e-003
   15      15.000s    1.954e-003    9.434e-003    7.481e-003
   16      16.000s    -1.771e-003    8.716e-003    1.049e-002
   17      17.000s    6.751e-003    8.061e-003    1.310e-003
   18      18.000s    8.790e-003    7.459e-003   -1.331e-003
   19      19.000s    9.782e-004    6.904e-003    5.926e-003
   20      20.000s    -8.398e-004    6.392e-003    7.232e-003
   21      21.000s    5.979e-003    5.918e-003   -6.127e-005
   22      22.000s    7.336e-003    5.479e-003   -1.857e-003
   23      23.000s    9.890e-004    5.073e-003    4.084e-003
   24      24.000s    -2.895e-004    4.698e-003    4.987e-003
   25      25.000s    5.524e-003    4.350e-003   -1.174e-003
   26      26.000s    6.760e-003    4.027e-003   -2.732e-003
   27      27.000s    1.631e-003    3.729e-003    2.098e-003
   28      28.000s    1.190e-003    3.453e-003    2.263e-003
   29      29.000s    7.621e-003    3.197e-003   -4.424e-003
   30      30.000s    1.104e-002    2.960e-003   -8.075e-003

============================================================

