SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/710/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.793e+000    4.423e-003  
T     =       1.851s    146369414933.275s  

RSS   =   2.498e-002
SD    =   2.886e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.049e+000    4.900e-002
    2       2.000s    7.230e-001    6.129e-001   -1.101e-001
    3       3.000s    3.804e-001    3.589e-001   -2.148e-002
    4       4.000s    1.444e-001    2.109e-001    6.653e-002
    5       5.000s    6.124e-002    1.247e-001    6.346e-002
    6       6.000s    5.170e-002    7.449e-002    2.279e-002
    7       7.000s    3.827e-002    4.524e-002    6.969e-003
    8       8.000s    1.754e-002    2.820e-002    1.066e-002
    9       9.000s    1.348e-002    1.827e-002    4.797e-003
   10      10.000s    2.053e-002    1.249e-002   -8.038e-003
   11      11.000s    1.904e-002    9.123e-003   -9.914e-003
   12      12.000s    1.070e-002    7.161e-003   -3.535e-003
   13      13.000s    9.204e-003    6.018e-003   -3.186e-003
   14      14.000s    1.407e-002    5.352e-003   -8.716e-003
   15      15.000s    1.590e-002    4.964e-003   -1.094e-002
   16      16.000s    1.492e-002    4.738e-003   -1.019e-002
   17      17.000s    1.625e-002    4.607e-003   -1.164e-002
   18      18.000s    1.654e-002    4.530e-003   -1.201e-002
   19      19.000s    1.069e-002    4.485e-003   -6.200e-003
   20      20.000s    3.799e-003    4.459e-003    6.605e-004
   21      21.000s    3.452e-003    4.444e-003    9.922e-004
   22      22.000s    6.654e-003    4.435e-003   -2.218e-003
   23      23.000s    6.055e-003    4.430e-003   -1.625e-003
   24      24.000s    2.939e-003    4.427e-003    1.488e-003
   25      25.000s    3.235e-003    4.425e-003    1.190e-003
   26      26.000s    5.992e-003    4.424e-003   -1.567e-003
   27      27.000s    6.143e-003    4.424e-003   -1.719e-003
   28      28.000s    4.507e-003    4.424e-003   -8.332e-005
   29      29.000s    5.557e-003    4.423e-003   -1.133e-003
   30      30.000s    8.671e-003    4.423e-003   -4.248e-003

============================================================

